[ 2018-08-18T13:30:30+08:00 ] /xxx/ | INFO: Tag[ app_begin ] --START--
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.031002s ]
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.020001s ]
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | INFO: Tag[ view_template ] --START--
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | INFO: Run LocationTemplate Behavior [ RunTime:0.014001s ]
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.015001s ]
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | INFO: Tag[ view_parse ] --START--
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:30+08:00 ] /xxx/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
